word,count
engineering,69
material,61
heat,49
transfer,42
water,42
energy,41
science,38
application,37
mechanical,36
oxygen,35
analysis,34
oxide,33
solid,33
nanofluid,33
experimental,32
system,31
technology,30
design,29
model,26
control,26
electrochemical,25
cell,24
thermal,24
tissue,22
flow,22
method,21
electrode,20
composite,20
surface,20
cartilage,20
implant,20
insert,19
engineer,18
heater,18
scaffold,18
hydrogen,17
alloy,17
reaction,17
manufacturing,17
congresso,17
friction,17
mass,17
development,16
state,16
ceramic,15
simulation,15
factor,15
tube,15
membrane,14
sustainable,14
heterogeneous,14
synthesis,13
titanium,13
ionic,13
assessment,13
evolution,13
hybrid,13
medical,13
battery,12
solar,12
device,12
process,12
society,12
performance,12
plate,12
predictive,12
identification,12
generation,11
catalyst,11
storage,11
optimization,11
power,11
transport,11
field,11
tankless,11
machine,11
biomecânica,11
nanodiamond,11
bone,11
behavior,10
conductivity,10
anisotropic,10
structural,10
nanocomposite,10
communication,10
numerical,10
metal,10
finite,10
element,10
prosthesis,10
estudo,10
dope,9
thin,9
film,9
electrical,9
chemistry,9
cobaltite,9
nickel,9
carbon,9
virtual,9
test,9
engenharia,9
joint,9
biomechanic,9
congress,9
efficiency,9
flat,9
collector,9
constitutive,9
inverse,9
fuel,8
desenvolvimento,8
ceria,8
processing,8
sensor,8
magnetic,8
fabrication,8
evaluation,8
computer,8
multi,8
mechanic,8
advanced,8
modelling,8
tape,8
supply,8
interface,8
temperature,7
structure,7
patent,7
sulfate,7
thereof,7
aveiro,7
type,7
green,7
like,7
physics,7
automatic,7
techma,7
wellbeing,7
vitro,7
chondrocyte,7
biomaterial,7
institution,7
biomedical,7
twisted,7
sheet,7
novel,6
reduction,6
graphene,6
magnesium,6
rechargeable,6
measurement,6
sulfide,6
barium,6
portuguese,6
electronic,6
nanomaterial,6
source,6
electrospinne,6
hardware,6
loop,6
improve,6
information,6
electrospun,6
total,6
artificial,6
diamond,6
pump,6
longitudinal,6
strip,6
effectiveness,6
exchanger,6
validation,6
parameter,6
surgery,6
ammonia,5
nitride,5
proton,5
conductor,5
mecânica,5
phase,5
sofc,5
ferrite,5
electrolyte,5
situ,5
melt,5
cathode,5
additive,5
aliaksandr,5
shaula,5
yang,5
sergey,5
mikhalev,5
duncan,5
fagg,5
zirconate,5
calcium,5
comparison,5
acta,5
characterization,5
enhance,5
obtain,5
mechanism,5
catalysis,5
glass,5
steel,5
fiber,5
defect,5
smart,5
embed,5
environment,5
experiment,5
book,5
fluid,5
articular,5
neural,5
nanotube,5
stimulation,5
medicine,5
sociedade,5
portuguesa,5
advance,5
thermosyphon,5
nanofluids,5
femoral,5
double,5
pipe,5
bend,5
calibration,5
viscosity,5
renewable,5
training,5
functional,5
machinability,5
formation,4
sistemas,4
tecnologia,4
synthetic,4
microstructural,4
catalytic,4
project,4
bace,4
support,4
component,4
paul,4
provisional,4
sinter,4
praseodymium,4
mixed,4
sputter,4
lanthanum,4
brownmillerite,4
datum,4
stability,4
pellet,4
addition,4
electrochimica,4
letter,4
electrochemistry,4
transaction,4
multifunctional,4
preparation,4
reduce,4
misfit,4
electrocatalyst,4
nanoparticle,4
progress,4
aspect,4
scheduling,4
time,4
universidade,4
ifac,4
volume,4
localization,4
leak,4
testing,4
detection,4
quality,4
biomimetic,4
laden,4
alignment,4
polycaprolactone,4
strain,4
replacement,4
intelligence,4
trend,4
investigation,4
monitor,4
computacional,4
cost,4
elastoplastic,4
form,4
femu,4
topology,4
reconstruction,4
machining,4
electric,4
implante,4
concept,4
ligament,4
anterior,4
capacitive,4
