word,count
equation,37
fluid,34
boundary,31
mathematical,31
analysis,31
regularity,26
mechanic,24
application,21
navier,18
nonlinear,18
system,17
solution,17
stokes,16
problem,16
mathematic,15
condition,15
flow,15
series,13
annal,12
pure,12
space,11
slip,10
rational,10
periodic,9
viscous,9
limit,9
euler,9
theory,9
continuous,9
existence,9
archive,9
differential,9
vorticity,8
homogeneous,8
communication,8
compressible,8
value,7
shear,7
discrete,7
dynamical,7
inviscid,7
applied,7
singular,6
type,6
global,6
time,6
newtonian,6
direction,6
advance,5
result,5
mixed,5
criterion,5
partial,5
method,5
theorem,5
domain,5
perturbation,5
hyperbolic,5
linear,5
inequality,5
laplacian,4
power,4
class,4
modelling,4
viscosity,4
velocity,4
stationary,4
stoke,4
point,4
concern,4
posedness,4
diffusion,4
datum,4
motion,4
dimensional,4
fundamental,3
operation,3
gradient,3
generalize,3
general,3
mathematics,3
thinning,3
incompressible,3
half,3
thickening,3
ladyzhenskaya,3
barotropic,3
stability,3
dependence,3
bifurcation,3
operator,3
parabolic,3
integrability,2
finite,2
physics,2
fully,2
science,2
chinese,2
pressure,2
lorentz,2
nonlinearity,2
weak,2
energy,2
equality,2
extension,2
flat,2
component,2
physical,2
relate,2
elliptic,2
potential,2
variable,2
smoothness,2
ferrara,2
dirichlet,2
erratum,2
near,2
fluids,2
open,2
unbounded,2
cylindrical,2
leray,2
smooth,2
smagorinsky,2
turbulence,2
green,2
evolution,2
nonhomogeneous,2
long,2
behaviour,2
slightly,2
dynamic,2
variation,2
initial,2
annales,2
institut,2
henri,2
poincare,2
analyse,2
lineaire,2
structural,2
bound,2
asymptotic,2
order,2
arise,2
determination,2
differentiability,2
variational,2
strategic,1
symmetric,1
develop,1
doubly,1
infinite,1
pipe,1
total,1
flux,1
survey,1
vanish,1
china,1
suitable,1
onsager,1
conjecture,1
shinbrot,1
simplified,1
proof,1
range,1
professor,1
vicent,1
radulescu,1
celebrate,1
sixtieth,1
anniversary,1
question,1
choe,1
paolo,1
secchi,1
function,1
alberto,1
valli,1
portugaliae,1
mathematica,1
regular,1
classical,1
minimal,1
assumption,1
applicandae,1
mathematicae,1
subject,1
constraint,1
family,1
bulletin,1
italian,1
union,1
incrompressible,1
stress,1
free,1
orthogonality,1
parallelism,1
bolletino,1
dell,1
unione,1
matematica,1
italiana,1
lipschitz,1
missed,1
persistence,1
negative,1
answer,1
challenge,1
mech,1
anal,1
society,1
contribution,1
equations,1
matrix,1
pseudo,1
plastic,1
annals,1
dependent,1
nonslip,1
developable,1
surface,1
generator,1
strong,1
couple,1
structure,1
sharp,1
calculus,1
nodea,1
branch,1
vibrate,1
string,1
hadamard,1
sense,1
barotronic,1
attract,1
kato,1
seminar,1
milan,1
transport,1
large,1
nonviscous,1
presence,1
hydrodynamic,1
pair,1
initially,1
differentiable,1
functional,1
inhomogeneous,1
banach,1
monotone,1
maximum,1
principle,1
quasi,1
sided,1
lderianity,1
unilateral,1
preface,1
