word,count
material,552
engineering,490
energy,311
system,310
mechanical,282
technology,275
modelling,264
analysis,246
science,242
development,239
application,234
sustainability,231
composite,208
manufacturing,208
design,174
performance,148
solution,145
numerical,143
optimisation,142
heat,141
process,137
metal,133
oxide,132
experimental,128
structure,117
cell,117
hydrogen,114
implant,113
advanced,112
thermal,106
water,106
carbon,106
vehicle,106
ceramic,104
alloy,103
computational,101
forming,101
intelligent,97
steel,95
electrochemical,94
phase,92
control,91
innovation,91
impact,90
polymer,89
method,88
autonomous,88
solid,87
assessment,85
sensor,85
wellbeing,85
storage,84
behavior,84
transportation,80
smart,80
simulation,77
emission,77
society,75
foam,75
transfer,74
bone,73
surface,70
characterization,69
efficiency,67
sheet,66
processing,65
evaluation,65
electrode,64
flow,64
meeting,63
drive,63
generation,62
oxygen,62
transport,62
environment,62
graphene,60
tissue,60
automation,59
behaviour,58
environmental,57
fuel,56
datum,55
structural,55
traffic,55
influence,54
mobility,54
aluminium,53
calibration,52
plastic,52
laser,52
dynamic,51
electrical,51
chemical,51
advance,51
welding,51
challenge,50
scaffold,50
biomechanic,50
hybrid,50
test,50
synthesis,49
building,49
parameter,49
production,48
industry,48
mechanic,48
management,48
fatigue,48
power,47
pump,47
urban,47
robotic,46
prediction,46
enhance,45
improve,45
annual,45
cartilage,44
electric,44
product,43
strength,43
finite element,43
road,43
nanocomposite,42
industrial,42
reinforce,42
nanofluid,42
dope,41
device,41
quality,41
strain,41
constitutive,41
support,40
aveiro,40
potential,40
tube,40
aluminum,40
temperature,39
multifunctional,39
tool,39
chemistry,38
friction,38
perspective,38
concept,38
additive manufacturing,38
thin,37
magnesium,37
zirconia,37
fabrication,37
reaction,37
fiber,37
framework,37
identification,37
capacitive,37
safety,37
solar,36
joint,36
treatment,36
comparative,35
green,35
multi,35
cork,35
anisotropic,34
coating,34
evolution,34
nanotube,34
biomedical,34
thermoplastic,34
future,34
robot,34
proton,33
measurement,33
learning,33
city,33
novel,32
film,32
trend,32
noise,32
machine learne,32
integrate,32
associate,31
component,31
field,31
communication,31
technique,31
validation,31
injection,31
molding,31
mixed,30
glass,30
loading,30
membrane,29
catalyst,29
strategic,29
mechanism,29
heterogeneous,29
detection,29
matrix,29
biomaterial,29
different,29
virtual,29
interface,29
laboratory,28
hydride,28
nanomaterial,28
automate,28
stimulation,28
micro,28
dental,28
connected,28
active,27
magnetic,27
cobaltite,27
group,27
copper,27
life,27
construction,27
monitoring,27
polyurethane,27
euro,27
battery,26
waste,26
cycle,26
cost,26
predictive,26
mould,26
weld,26
integration,26
density,26
assess,26
condition,26
state,25
barium,25
stability,25
plate,25
physics,25
automatic,25
monitor,25
operational,25
sciences,25
implementation,25
removal,24
network,24
nanoparticle,24
institution,24
investigation,24
predict,24
fracture,24
explore,24
driving,24
conductivity,23
bace,23
ceria,23
nickel,23
activity,23
catalysis,23
vitro,23
insert,23
roundabout,23
walled,23
topology,23
prosthesis,23
sensing,23
print,23
recycle,23
ammonia,22
nitride,22
nano,22
situ,22
anode,22
obtain,22
current,22
shell,22
testing,22
heater,22
platform,22
methodology,22
single,22
renewable,22
formability,22
global,22
multiscale,22
complex,22
adaptive,22
polypropylene,22
additive,21
bioactive,21
factor,21
mass,21
pipe,21
information,21
medical,21
specimen,21
stress,21
stir,21
plasticity,21
functional,21
prototype,21
digital,21
fill,21
printing,21
transformer,21
sefi,21
adsorption,21
source,20
titanium,20
cathode,20
metallic,20
expansion,20
dimensional,20
defect,20
issue,20
orthopaedic,20
entrepreneurial,20
machine,20
biomechanical,20
heating,20
sofc,19
incorporate,19
melt,19
yttrium,19
transaction,19
note,19
physical,19
chondrocyte,19
fibre,19
bend,19
interaction,19
fluid,19
summit,19
beam,19
rapid,19
embed,19
shape,19
crack,19
pollutant,19
mercury,19
work,18
transformation,18
effective,18
architecture,18
comprehensive,18
aspect,18
regeneration,18
esaform,18
book,18
element,18
civil,18
editora,18
generator,18
instrumented,18
reinforcement,18
force,18
scale,18
algorithm,18
decision,18
chassis,18
context,18
electromagnetic,18
volatility,18
electronic,17
feature,17
thermomechanical,17
response,17
neural,17
direct,17
cellular,17
repair,17
medicine,17
damage,17
indicator,17
linear,17
scientific,17
wear,17
friendly,17
technical,17
forum,17
space,17
domestic,17
caetanobus,17
morphology,17
human,17
circular,17
catalytic,16
electrolyte,16
area,16
comparison,16
role,16
step,16
oxidation,16
kinetic,16
total,16
artificial intelligence,16
criterion,16
training,16
inverse,16
service,16
tribological,16
assist,16
lecture,16
rate,16
growth,16
american,16
deep,16
asymptotic,16
homogenisation,16
microstructural,15
ionic,15
sinter,15
recent,15
promotion,15
nanodiamond,15
corridor,15
volume,15
wind,15
series,15
equipment,15
polyethylene,15
cement,15
bicycle,15
filament,15
driver,15
risk,15
kinematic,15
sensitivity,15
incremental,15
limit,15
layer,14
conversion,14
short,14
unit,14
asymmetric,14
conduct,14
turbine,14
produce,14
misfit,14
electrocatalyst,14
real,14
combustion,14
cool,14
climate,14
supply,14
acquisition,14
nonlinear,14
machining,14
electron,14
tema,14
flexible,14
theoretical,14
refrigeration,14
injury,14
cerate,14
head,14
competition,14
recovery,13
calcium,13
result,13
degradation,13
addition,13
combine,13
understand,13
overview,13
like,13
compound,13
localization,13
time,13
stimulus,13
porous,13
electrospun,13
point,13
double,13
problem,13
teacher,13
tensile,13
biomass,13
insight,13
switzerland,13
nanotechnology,13
subject,13
aerospace,13
rolling,13
natural,13
illiance,13
spinal,13
maintenance,13
frontier,13
evaluate,13
extrusion,13
build,13
vanadium,13
continuous,13
learn,13
determination,13
scenario,13
working,13
board,13
formation,12
plant,12
level,12
operation,12
introduction,12
progress,12
nitrous,12
arthroplasty,12
experiment,12
medium,12
large,12
robust,12
young,12
moulding,12
resource,12
cispee,12
ligament,12
biodegradable,12
bioreactor,12
contain,12
consumption,12
dual,12
advancement,12
cord,12
mobile,12
small,12
mean,12
blade,12
clean,12
highly,12
fire,12
panel,12
multivariate,12
practical,12
correction,12
hardening,12
economy,12
integrated,12
compressive,12
ratio,11
lead,11
strontium,11
blow,11
fundamental,11
iron,11
agent,11
articular,11
laden,11
specific,11
blend,11
polymeric,11
department,11
distribution,11
flat,11
strip,11
femoral,11
paper,11
coupling,11
function,11
vivo,11
damp,11
fixation,11
passive,11
loosening,11
instrument,11
open,11
recycling,11
resistance,11
mark,11
visual,11
stakeholder,11
teaching,11
mindset,11
company,11
absorption,11
skill,11
ammonolysis,11
biocomposite,11
value,11
mode,11
freezer,11
characteristic,11
acid,11
soil,11
mapping,11
alumina,11
grade,11
join,11
bibliometric,11
food,11
tankless,11
ewgt,11
multimodal,11
piezoelectret,11
icarsc,11
conductor,10
lanthanum,10
alternative,10
separation,10
lithium,10
type,10
size,10
conductive,10
incorporation,10
modification,10
route,10
acoustic,10
biomimetic,10
alignment,10
electrospinning,10
improved,10
regenerative,10
world,10
